token,Mean_Abs_SHAP,Mean_SHAP,Frequency
tidak,0.00011484982353454318,-9.071766109886098e-05,17
dalam,0.00011411285326155646,0.0001137811297774331,10
pernah,0.00010722110821188835,-5.4591524440184e-06,11
dijamin,0.00010604992634762311,0.00010604992634762311,1
super,0.00010527768482198654,9.579820174339046e-05,7
gig,0.00010526206619397272,0.00010526206619397272,3
beneran,0.00010411170240877255,-0.00010140621628488589,4
gila,0.00010406866580524365,2.289800889775506e-05,7
mantep,0.0001037208796624327,0.0001037208796624327,3
signifikan,0.0001032798323649331,0.0001032798323649331,2
gas,0.0001031677724677138,9.206770051969215e-05,2
menurut,0.00010292422871498275,-0.000102906347343378,3
itu,0.0001028107129364625,9.52567458271785e-05,28
masih,0.00010192878377141507,9.784544568380033e-05,13
tadi,0.00010188285876211011,0.00010188285876211011,4
06,0.00010048668644594727,0.00010048668644594727,2
disini,0.00010005107933830004,0.00010005107933830004,1
enak,9.923148101330105e-05,9.348952244730947e-05,10
p,9.743538036127575e-05,9.743538036127575e-05,5
bilang,9.717702722628019e-05,3.8571261069591855e-05,4
live,9.639493266877252e-05,9.639493266877252e-05,1
tuh,9.497043715100517e-05,9.479471315853516e-05,6
selama,9.492447776210611e-05,9.492447776210611e-05,3
betah,9.447324288339587e-05,9.447324288339587e-05,5
luar,9.372693376594188e-05,9.030650238178706e-05,11
boleh,9.32332227462846e-05,6.809165311954552e-05,4
hadirkan,9.295662125805394e-05,9.295662125805394e-05,1
bro,9.232124379498904e-05,2.53696835249381e-05,4
ion,9.205944424926806e-05,9.205944424926806e-05,4
baik,9.075347299190586e-05,8.679450777194173e-05,12
naga,9.061140973790316e-05,9.061140973790316e-05,1
nggak,8.978452483934233e-05,1.68758645078924e-05,6
stream,8.95898331873468e-05,8.95898331873468e-05,2
lumayan,8.765792648046044e-05,8.765792648046044e-05,1
deep,8.578139798191841e-05,8.578139798191841e-05,1
datangnya,8.49387207563268e-05,8.49387207563268e-05,1
